Type,Source,Size,Init_Conc,Psorbed,Premoval,FeTot,AlTot,CaTot,MgTot,CaWS,MgWS,FeAO,AlAO,FeCBD,AlCBD
SS,1,Small,0,0,100,355400,980,145000,67000,6671,67,76616,3090,21274,421
SS,1,Small,100,99.46,99.46,355400,980,145000,67000,6671,67,76616,3090,21274,421
SS,1,Small,200,198.56,99.28,355400,980,145000,67000,6671,67,76616,3090,21274,421
SS,1,Small,400,393.37,98.34,355400,980,145000,67000,6671,67,76616,3090,21274,421
SS,1,Small,600,559.82,93.3,355400,980,145000,67000,6671,67,76616,3090,21274,421
SS,1,Small,800,716.17,89.52,355400,980,145000,67000,6671,67,76616,3090,21274,421
SS,1,Small,1000,843.2,84.32,355400,980,145000,67000,6671,67,76616,3090,21274,421
SS,1,Small-Med,0,0,100,24252,1465,133000,63000,3358,40,101160,2864,19584,5
SS,1,Small-Med,100,98.75,98.75,24252,1465,133000,63000,3358,40,101160,2864,19584,5
SS,1,Small-Med,200,197.07,98.54,24252,1465,133000,63000,3358,40,101160,2864,19584,5
SS,1,Small-Med,400,371.3,92.83,377800,1465,133000,63000,3358,40,101160,2864,19584,5
SS,1,Small-Med,600,453.78,75.63,377800,1465,133000,63000,3358,40,101160,2864,19584,5
SS,1,Small-Med,800,630.52,78.82,377800,1465,133000,63000,3358,40,101160,2864,19584,5
SS,1,Small-Med,1000,635.65,63.57,377800,1465,133000,63000,3358,40,101160,2864,19584,5
SS,1,Medium ,0,0,100,420500,2162,121000,58000,3561,30,104897,2696,22386,15
SS,1,Medium ,100,97.19,97.19,420500,2162,121000,58000,3561,30,104897,2696,22386,15
SS,1,Medium ,200,183.23,91.62,420500,2162,121000,58000,3561,30,104897,2696,22386,15
SS,1,Medium ,400,327.29,81.82,420500,2162,121000,58000,3561,30,104897,2696,22386,15
SS,1,Medium ,600,394.97,65.83,420500,2162,121000,58000,3561,30,104897,2696,22386,15
SS,1,Medium ,800,473.94,59.24,420500,2162,121000,58000,3561,30,104897,2696,22386,15
SS,1,Medium ,1000,581.61,58.16,420500,2162,121000,58000,3561,30,104897,2696,22386,15
SS,1,All,0,0,100,176700,7650,140000,66000,6406,101,88078,2444,18057,19
SS,1,All,100,99.76,99.76,176700,7650,140000,66000,6406,101,88078,2444,18057,19
SS,1,All,200,199.73,99.87,176700,7650,140000,66000,6406,101,88078,2444,18057,19
SS,1,All,400,399.18,99.79,176700,7650,140000,66000,6406,101,88078,2444,18057,19
SS,1,All,600,563.08,93.85,176700,7650,140000,66000,6406,101,88078,2444,18057,19
SS,1,All,800,704.75,88.09,176700,7650,140000,66000,6406,101,88078,2444,18057,19
SS,1,All,1000,698.82,69.88,176700,7650,140000,66000,6406,101,88078,2444,18057,19
SS,2,Small,0,0,100,435200,7348,176000,63000,27279,40,40530,2337,4491,518
SS,2,Small,100,100.01,100.01,435200,7348,176000,63000,27279,40,40530,2337,4491,518
SS,2,Small,200,199.93,99.96,435200,7348,176000,63000,27279,40,40530,2337,4491,518
SS,2,Small,400,400.37,100.09,435200,7348,176000,63000,27279,40,40530,2337,4491,518
SS,2,Small,600,600.31,100.05,435200,7348,176000,63000,27279,40,40530,2337,4491,518
SS,2,Small,800,800.06,100.01,435200,7348,176000,63000,27279,40,40530,2337,4491,518
SS,2,Small,1000,999.92,99.99,435200,7348,176000,63000,27279,40,40530,2337,4491,518
SS,2,Small-Med,0,0,100,429000,12127,199000,59000,12860,24,50232,2695,4895,145
SS,2,Small-Med,100,99.93,99.93,429000,12127,199000,59000,12860,24,50232,2695,4895,145
SS,2,Small-Med,200,200.13,100.06,429000,12127,199000,59000,12860,24,50232,2695,4895,145
SS,2,Small-Med,400,400.26,100.07,429000,12127,199000,59000,12860,24,50232,2695,4895,145
SS,2,Small-Med,600,600.76,100.13,429000,12127,199000,59000,12860,24,50232,2695,4895,145
SS,2,Small-Med,800,800.64,100.08,429000,12127,199000,59000,12860,24,50232,2695,4895,145
